,text,created_at,id,author_id
16,DO NOT FORGET IF YOU WANT MESSI/RONALDO AND DINHO https://t.co/rkR33yitF3,2021-11-01T15:23:45.000Z,1455193853242322944,701069312556138497
17,Listening to Leo Messi talk about Barcelona in his interview despite people treating him like shit☹️ https://t.co/kzzvhGm0mt,2021-11-01T15:23:41.000Z,1455193836867788806,998611879953096710
18,🔴 Leo Messi is OUT for Wednesday. @SaberDesfa #PSG 🇦🇷❌,2021-11-01T15:23:34.000Z,1455193808807813124,1344656597700792327
19,"Retire? It has not crossed my mind, says #PSG star #Messi 
https://t.co/RmD2PaaWb3",2021-11-01T15:23:32.000Z,1455193797059559426,401279069
20,"Zlatan is not even in the top 200 but talks like he is on Messi them level , smh https://t.co/ek9If8mvM8",2021-11-01T15:23:31.000Z,1455193794685571076,2540550204
21,"@goal @PauDybala_JR @juventusfcen Lionel Messi in 2021:

✅ 49 games
✅ 40 goals
✅ 14 assists
✅ 27 MOTM awards
✅ La Liga top scorer
✅ Copa America top scorer, Player of the Tournament and winner

If any other player had these stats then they would win the Ballon d'Or without debate. Give him his #7 🏆 #LM7 https://t.co/sHb74afgao",2021-11-01T15:23:30.000Z,1455193790076137477,948545525543993344
22,Vote messi/ronaldo hell vote origi but not that other random dude https://t.co/8lqKGT8QIo,2021-11-01T15:23:29.000Z,1455193785034436609,1435441544480231425
23,"@Inayat19708039 Messi is most protected, we all know that",2021-11-01T15:23:28.000Z,1455193781242839043,1440964906816352256
24,@OLA29636117 @Amari74_ @adamGuater @totalcristiano THEN WHY HE STILL HAS LESS LEAGUE GOALS THAN MESSI IN 2021?,2021-11-01T15:23:25.000Z,1455193771281313801,2988511422
25,@needonegoalfc SRK and Messi as a celebrity will never disappoint you ❤️✌️,2021-11-01T15:23:15.000Z,1455193726024826889,750791035
26,@goal @PauDybala_JR @juventusfcen Has more league goals than Messi 😭,2021-11-01T15:23:08.000Z,1455193699776974861,1429499370634874882
27,"@waleedalfarraj Twitter Messi 

#اجمل_رساله_حب  #غرد_بذكر_الله

https://t.co/XSyUpymMGT",2021-11-01T15:23:08.000Z,1455193698904461326,1397601836
28,"@SelecaoTalk Newmar for all his brilliance ain't come close to Messi, The gulf between Messi and Neymar is as big as Maradona and Careca with the likes of R9, Ronnie can both fill in with some space left for Romario.",2021-11-01T15:23:06.000Z,1455193689387507714,1423657340562132993
29,"Ramos : Bro i have a plan to leave this hell
Messi : Tell me fast 
#psg #ramos #Messi https://t.co/nuWvrzlP79",2021-11-01T15:23:02.000Z,1455193674426454020,1384185030650388495
30,@messiifc10 @ESPNFC If that’s the case why was the president saying that? Surely he should know. Also they could have paid Messi back later once they balance their checkbook so it doesn’t have to be for free,2021-11-01T15:22:57.000Z,1455193654100856839,1411312327559946242
31,@breathMessi21 Someone needs to remind he's fkin Lionel Messi,2021-11-01T15:22:56.000Z,1455193647436029964,1418580111650000903
32,@derekVibez @Leslley20 @ChampionsLeague @acmilan when has messi ever claimed to be the best? lmao,2021-11-01T15:22:55.000Z,1455193644240183301,1257083494263554050
33,"Broo, Messi and Ronaldo made constant 30 league goals look normal",2021-11-01T15:22:55.000Z,1455193642906365952,1253665331165270016
34,@Etleau1 I hope Messi will win Ballon d'or 2021,2021-11-01T15:22:54.000Z,1455193639039143944,1051507433678532608
35,Neymar turned up against Lille. Why can’t he be like this all the time? https://t.co/KOGrbAM0K1,2021-11-01T15:22:42.000Z,1455193589340909570,58256324
36,@kso123_ @LUFCAtif He’s just comparing the better player (Messi) and what people think are the goat (ronaldo) to who are the best players on earth (Raphinha and Rodrigo),2021-11-01T15:22:42.000Z,1455193587654795269,1354782016890429442
37,@RJ_Messi_1 So as you 😂,2021-11-01T15:22:42.000Z,1455193587180720129,1274325314647191555
38,@BlancoAMJ @TotalMessi10i @Schule7i @goal @FCBarcelona @TeamMessi List all the teams ronaldo played in the euros when he won and compare them with the copa america messi won.,2021-11-01T15:22:41.000Z,1455193585222041607,1298320601833189377
39,@goal @FCBarcelona @TeamMessi Goal sucking messi's ass once again no surprise 😂😂😂😂,2021-11-01T15:22:38.000Z,1455193572186202120,352004499
40,@Elelwani_Ndou93 @Jose_Told_You Tiny little kid who thinks he’s Messi. He drives me mad when I watch him play.,2021-11-01T15:22:32.000Z,1455193545992777737,846823043234189312
41,"@Segzxx @ERNESTHDGAMERX Na just G/A Messi tale pass am sef, completed more takeons, created more chances PG, big chances in the tournament. Ernest dey here dey call Martinez 😹",2021-11-01T15:22:28.000Z,1455193529416708104,1112822256307191809
42,"@cr7goat77 @mide6ix @ultimatetots @sixgodfcb @goal lies, Bartomeu played a major role in the debt, barca was fine, bartomeu got 222million from psg for neymar, and what did he do with it? bought coutinho and dembele, players that were bad investment, messi generated about 300 to 400m per year for barca they were able to pay him",2021-11-01T15:22:24.000Z,1455193512492871685,1384581321394171910
43,"Coming up shortly is a full video discussing Leo Messi’s interview! Where he spoke about a many interesting topics, including his exit from Barça, his possible return &amp; the 2022 World Cup 🇦🇷",2021-11-01T15:22:04.000Z,1455193430565531656,4821057701
44,@Serenityy_now @RJ_Messi_1 Welcome back 😹😹 Me kidhu rahul ne potani practice chalu kari 6 so busy hase 😀,2021-11-01T15:22:04.000Z,1455193428308807680,1274325314647191555
45,@_cfcguy @Fibonana @lmfootbalI Lol kid doesn’t even know that  ballon d ir is given on overall perfomance including trophies and individual stats messi has both while your lord has only trophies with zero stats🤣,2021-11-01T15:21:56.000Z,1455193396738416644,1397846619819843586
46,@SuperSportTV He has always said this! Messi and Barcelona is literally 5&amp;6,2021-11-01T15:21:40.000Z,1455193330904600576,998611879953096710
47,"@goal @FCBarcelona @TeamMessi This PR drama istg... GOAL used to be a good page. Now you're just 💩.

Push your Messi agenda more and more like a 10 year old brat ya f-ers",2021-11-01T15:21:36.000Z,1455193310750920705,1713247118
48,"I think #Messi is going to be crowned #TheBest FIFA Men's Player. Who do you think will win? https://t.co/5MsgtxdGqi 
#HappyBirthdaySRK 
#ShahRukhKhan 
#SRK",2021-11-01T15:21:25.000Z,1455193266693890048,1251403023181479937
49,@Nkjnr Messi's own must be Goat of Goats then,2021-11-01T15:21:21.000Z,1455193249849688070,959917434256883713
50,"So according to the Puig fan base, Messi has an agenda against Puig too¿ https://t.co/8EiCSUYmkR",2021-11-01T15:21:06.000Z,1455193184733175814,825386380683595777
51,im not ready for a Messi-less Argentina someone find a way to make that man play till he’s 45 NOW https://t.co/kz2So2CESj,2021-11-01T15:21:03.000Z,1455193172162723844,1292139377594896387
52,"Goal Five - Ali Mouajal (@fc_kensal)
Goal Six - @callumormrod1 (@avenue_football)
Goal Seven - Adriano Gil (@welwyn_warriors)
Goal Eight - Manchester Messi (@ChorltonFooty)

(2/5)",2021-11-01T15:21:01.000Z,1455193167502925829,1045330037266927617
53,@OIahuUber @shayaanfcb Messi has more g/a in ligue1 than number of times they have captured our land 😭😭,2021-11-01T15:20:49.000Z,1455193115963236357,1342497094838362112
54,"@PSG_espanol @losclive Lionel Messi in 2021:

✅ 49 games
✅ 40 goals
✅ 14 assists
✅ 27 MOTM awards
✅ La Liga top scorer
✅ Copa America top scorer, Player of the Tournament and winner

If any other player had these stats then they would win the Ballon d'Or without debate. Give him his #7 🏆 #LM7 https://t.co/P63FRtxVK5",2021-11-01T15:20:45.000Z,1455193100154978311,1414726159548522496
55,"Messi is far better than Ronaldo. 

Omo na me go organize the search party. 😂 https://t.co/BGOV0WXolI",2021-11-01T15:20:45.000Z,1455193098850553858,1039954467440025600
56,@RMnaldo7 @TMForever30 Talking about messi and Ronaldo clown💀,2021-11-01T15:20:35.000Z,1455193057477939205,1422253426017189888
57,@wesyang Lionel Messi and Wayne Gretzky,2021-11-01T15:20:27.000Z,1455193024632344578,1098457061715861504
58,"Zlatan #hypocrite
On Cristiano's transfer:
""I said that it wasn't a challenge to join Juventus. It's not a challenge to go to one of the best teams in the world.""
On Messi's transfer:
""It’s a good challenge for Messi""
Still salty over this ↓ , grow up Z
#CristianoRonaldo #GOAT https://t.co/VqEilAWwaM",2021-11-01T15:20:26.000Z,1455193019074822144,1400205461400395779
59,"@smswapnil23 @Futbolista___ @BarcaTimes He said that without being the president, how many players would he be able to buy if he became president. He would have eventually waited till the end of the season. He used that to campaign. Laporta used Messi to campaign but what happened?",2021-11-01T15:20:10.000Z,1455192950128922624,285552471
60,Messi's high five: I came to PSG to win the Champions League again https://t.co/1sx4BDOqZW,2021-11-01T15:20:03.000Z,1455192920538157064,51816066
61,good Messi comps anyone?,2021-11-01T15:20:01.000Z,1455192915249025030,1439097035534315525
62,"Everyone is a born winner. You just have to figure out what it is you are good at. Cr7 or Messi might lose even if they both are on the same team in a 4x4 race. 
So if you are born to be a Chess champion but you keep playing Ludo, you cannot blame anyone for not winning.",2021-11-01T15:19:55.000Z,1455192888904617992,206277648
63,"@av_bagged @fcbnilebagged I don't know but the relationship between Piqué and Messi seems a little weird and the relationship between Riqui and Pique seems strong. Also Riqui playiny golf with Laporta isn't normal, and Koeman talked about the pressure he had to ""play certain players"".",2021-11-01T15:19:52.000Z,1455192875420078084,1330620053662920705
64,Messi the best footballer@messi https://t.co/qODQE9FnYZ,2021-11-01T15:19:50.000Z,1455192866020548615,1455191565337600011
65,@FCBDynamite_ @messi_goated @shayaanfcb Hey lol,2021-11-01T15:19:43.000Z,1455192836622540803,1377637860023566338
66,"@olgasyana Looks so yummy, messi! 💕",2021-11-01T15:19:35.000Z,1455192803655307265,1130928523441426432
67,"Let's play a game of who am i?

I played with Ronaldo and Messi
I won the Champions League with both
Won the World Cup + Euros 
Now I'm Ronaldo's bitch

Who am I?",2021-11-01T15:19:31.000Z,1455192789596184580,1201643421452165121
68,@imessi ilove you cr7 or Messi❤👑 https://t.co/IrjsjXB1gg,2021-11-01T15:19:29.000Z,1455192781400551436,1451685370664525835
69,"@Neymaravi_ @MirZafa03675509 @Dsummerss @PSGhub @RMCsport He literally said it in an interview after messi won ballondor 2015, search it up clown.",2021-11-01T15:19:27.000Z,1455192770713374724,1422253426017189888
70,And that's why our Goat Leo Messi will win Ballon d'Or https://t.co/KmG0KaENyf,2021-11-01T15:19:27.000Z,1455192769253855232,26460985
71,PDP chieftain blasts Kaduna Government over bandits’ attack despite shutdown of mobile network - https://t.co/Buidzk2G7x #News #kaduna #PDP#BBnaija #Messi #Wizkid #Davido,2021-11-01T15:19:25.000Z,1455192762870022145,1099915012037099521
72,It's funny that the only person in football who doesn't give a single fuck about the Messi vs Ronaldo debate is Lionel Messi. https://t.co/bQ8HZHye9T,2021-11-01T15:19:22.000Z,1455192748911386630,1311061988206874624
73,Watching Barcelona nowadays makes you appreciate Messi more…,2021-11-01T15:19:14.000Z,1455192717986828303,1044337272869572608
74,"Lionel Messi will Miss Match against Lepzeig !!!
Via 🏅 @SaberDesfa",2021-11-01T15:19:10.000Z,1455192700785942534,1426573230010142722
75,"@TotalMessi10i @Schule7i @goal @FCBarcelona @TeamMessi Better than 5 bottle jobs and ghosting. Messi also has 0 KOs goals in WC, same with Ronaldo. Not to mention Messi plays much easier teams in a KOs phase of Copa america than Ronaldo would do at an Euros tournament or even nations league",2021-11-01T15:19:09.000Z,1455192693940817923,1049239080
76,@chukutin I think i see messi,2021-11-01T15:19:01.000Z,1455192661913047043,3295963740
77,"@Leslley20 nahh im just trolling, i like messi😭 messi needs some rest tho",2021-11-01T15:19:00.000Z,1455192657903378443,1415960241196335104
78,@Drwhales_ I think Messi owns that record.,2021-11-01T15:18:45.000Z,1455192595529797639,215970286
79,@dreadblackpill @EliGE @Twistzz Elige is good but I think s1mple is a better comparison to messi,2021-11-01T15:18:40.000Z,1455192576127086597,1249013687303770112
80,"Poor him. 
Didn't watch Juve because the situation of Juve right now. 

Just like me, i don't watch Barca anymore since Messi left.
😓",2021-11-01T15:18:38.000Z,1455192564026392584,250437380
81,My celebration was pure relief – Rashford hits back at Owen - EPL - https://t.co/pezJkaHzg8 #Sport #EPL #Owen #rashford#BBnaija #Messi #Wizkid #Davido,2021-11-01T15:18:32.000Z,1455192539632480262,1099915012037099521
82,"@KiranUTD ye ik, i said messi has a better game ratio in finals than he does against eibar (nothing to do with ronaldo)",2021-11-01T15:18:30.000Z,1455192533554839556,1351830928251875328
83,@LionelFutbol @breathMessi21 Messi has seperate account coz it is created for watching messi killing players,2021-11-01T15:18:21.000Z,1455192494988165126,1440702032118042635
84,"yhu dj uvele wanala run ka messi 2012 wadlala oo adiwele no ban ban, everyone had their hands in the air, singing along, thixo😭🔥 https://t.co/fWy9zxrEPv",2021-11-01T15:18:14.000Z,1455192466211098624,1323691400396001281
85,"@bagofnuts_ @ERNESTHDGAMERX I wonder what Ernest problem is😭
He was literally 2nd best in everything behind Messi",2021-11-01T15:18:14.000Z,1455192464428568579,970442242669404162
86,"Word on the street that messi hated pique and pooch, cut off their balls and throw them in shark infested water",2021-11-01T15:18:12.000Z,1455192456937582594,705876528387616768
87,"Ortom reacts to PDP convention, insists party will rescue Nigeria, restore unity - 2023 - https://t.co/GN60vWhEmf #Politics #2023 #ortom #PDP#BBnaija #Messi #Wizkid #Davido",2021-11-01T15:18:09.000Z,1455192445554237446,1099915012037099521
88,"Lionel Messi says thought of retiring after next year’s FIFA World Cup has not crossed his mind-Sports News , Firstpost https://t.co/W5aAF0bRWV",2021-11-01T15:18:09.000Z,1455192442282684424,1419154433624080387
89,"@Drwhales_ Naa, Messi has more GS goals i think.",2021-11-01T15:17:58.000Z,1455192397365743621,1112822256307191809
90,@tylerguinness @ESPNFC Sometimes things are worth more than you can afford. They did this to themselves through very poor management. Messi is arguably the greatest soccer player ever he was worth every penny. It’s not his fault that Barcelona could not figure out their finances.,2021-11-01T15:17:56.000Z,1455192390227140616,1333130704474034184
91,@Castro1021 and got untradeable messi too yesterday :) https://t.co/zafk80lAfW,2021-11-01T15:17:44.000Z,1455192339329298432,3080980588
92,Many trapped as 21-storey building collapses in Lagos - https://t.co/18tyqvY8L4 #Nigerian News #breaking #collapsebuilding #lagos#BBnaija #Messi #Wizkid #Davido,2021-11-01T15:17:40.000Z,1455192322103300097,1099915012037099521
93,"🔴🔵 Lionel Messi is forfeited for the game against Leipzig. #RBLPSG #UCL 

@SaberDesfa 

https://t.co/ZSFlvm1NtD",2021-11-01T15:17:34.000Z,1455192296211714048,1385510927710175233
94,"Shah Rukh Khan was the first Indian who became the Ambassador of the INTERPOL.

In 2014 , SRK joined the club of International Celebrities who have been the ambassador for the campaign which include Hollywood actor Jackie Chan &amp; footballer Lionel Messi

 #HappyBirthdaySRK",2021-11-01T15:17:17.000Z,1455192224430321665,1451206785113542661
95,Messi is down bad in Ligue 1😂🤣 https://t.co/OGeRsO4aqL,2021-11-01T15:17:13.000Z,1455192210979311626,1407618822513860608
96,how do people still defend him? he tried his best to make messi look bad in this situation https://t.co/pRpxs8eP43,2021-11-01T15:17:13.000Z,1455192210262183941,2783540610
97,@messi_goated @shayaanfcb I’m not a girl b0zo,2021-11-01T15:17:06.000Z,1455192181807874052,1377637860023566338
98,@obiatw3 @idoknowball Argentina played those finals because of Messi. You'd know if u actually watch football. And u think they would even get out of group stages without him? Lmao,2021-11-01T15:17:06.000Z,1455192179912024077,1431702728145657858
99,No bullshit now.... In all 5 league yes 5... Tell me a better player than @_DeclanRice  Messi past it... Ronaldo years ago...,2021-11-01T15:17:01.000Z,1455192158533718016,1372134674550681610
0,@Elroy_R_Buck Don't turn this into a Ronaldo and messi argument lol. This is about how shit and sorry your club is.  juve is a small finished club that would be equivalent to newcastle in the prem. CR7 wasted 3 years to play for trash club. Loved it better when he was destroying you in UCL😂,2021-11-01T15:16:57.000Z,1455192140045242376,1167515122207744000
1,"@cr7goat77 @mide6ix @ultimatetots @sixgodfcb @goal When you have a player like messi you have to manage your finances on how you spend, because If you get a player as good as messi eventually him and the people around him are gonna demand more money, barca was fine, they were able to pay messi...",2021-11-01T15:16:55.000Z,1455192134911463427,1384581321394171910
2,@halamadrdynada @Hamza__KB9 @MadridXtra @diarioas He played a supportive role because he’s a beta male. Look at Suarez and Messi both shining together. Henry has a better g/a than him and he only played as a striker for 8 years. The only thing Benzema has on Henry is longevity.,2021-11-01T15:16:52.000Z,1455192120428580868,3217819637
3,@KattarReborn I think lewa already sealed the award after watching Messi's interview and the betting update 🥵🥵,2021-11-01T15:16:51.000Z,1455192115034705923,404935326
4,gavi has the leo messi approval https://t.co/Kbc5yIBldP,2021-11-01T15:16:38.000Z,1455192063084056577,2783540610
5,"‘i came to Paris to win the champions league’ 
      
                                - Leo Messi",2021-11-01T15:16:30.000Z,1455192030448136194,1106508561608261633
6,Messi will announce retirement in two games into premier league. https://t.co/Cv0BHQQ9Jj,2021-11-01T15:16:23.000Z,1455191997682098177,930817353436233729
7,This could be a very 'Messi' situation https://t.co/LPH6kdxUff,2021-11-01T15:16:17.000Z,1455191975360147458,1275870560350801925
8,"@soulsonicc He cares, he cares as much as a Ronaldo did back in the days. But the difference is one of them tells you what he thinks and feels the other one doesn't. And I don't meant that in the bad way, I would probably do the same thing as Messi",2021-11-01T15:15:59.000Z,1455191898625351685,1399094883479179267
9,Messi ‘hurt’ that Laporta trusted he’d play free of charge at Barcelona. https://t.co/OiyX8ma1ld,2021-11-01T15:15:56.000Z,1455191887506296837,1363525714520268800
10,@crabmeatcyka @VadealFN Messi is the goat,2021-11-01T15:15:55.000Z,1455191882259177477,1246591412201816067
11,Aye! Not who can't even criticize Messi when he makes mistakes or plays shit is talking about that lol https://t.co/Df22C0T8Dz,2021-11-01T15:15:50.000Z,1455191862071869445,1343348728812498945
12,@RahulNjr Messisexuals are as annoying as arturo. PSG should have not signed messi..,2021-11-01T15:15:49.000Z,1455191857391038472,1366382823750262788
13,@nmfrthemoon I don’t understand Neymar stans who hate Messi when they so similar,2021-11-01T15:15:46.000Z,1455191844288073735,1338190668339044356
14,@Chaviesquement Idk why pique has so much say in everything he’s literally shit. These guys gotta go asap. I don’t believe it about Messi but if there’s anyone who could speak on the team it’s him.,2021-11-01T15:15:39.000Z,1455191813380317205,2896897280
15,"Twitter Messi 

#اجمل_رساله_حب  #غرد_بذكر_الله

https://t.co/YHPQiPSZGV",2021-11-01T15:15:29.000Z,1455191774662729732,1563268548
16,"A teacher can't silence a class of 30 students while Messi silenced a stadium of 81,000 People.
🐐 https://t.co/Y2nGr8e676",2021-11-01T15:15:06.000Z,1455191677367472134,1404049703545737226
17,@KiranUTD messi has a better game ratio in ucl finals then he does against eiber,2021-11-01T15:15:03.000Z,1455191662590926855,1351830928251875328
18,Messi speak about Laporta and truth about playing it for free. #Barca #Messi #Truth #BallonDor #PSG #Barcelona #laporta #soccer #football #Trending #Argentina #interview #ChampionsLeague #CopaArgentina #legend #free #goals #GOAT https://t.co/xmvZNhsYHi,2021-11-01T15:14:51.000Z,1455191614155022337,1443629786899828752
19,"Lionel Messi on the Ballon d'Or: 

""The truth is, I don't think about it. The biggest prize was what I achieved with the National Team. We fought so hard for that, it was the ultimate goal. A 7th Ballon d'Or would be crazy but if not, no problem."" https://t.co/ZoaWtrcZKD",2021-11-01T15:14:48.000Z,1455191602280947712,11096152
20,@TheEuropeanLad @sport But @TioDrewPriv form the states told me Messi would be crying,2021-11-01T15:14:38.000Z,1455191557515186184,1402635055424475136
21,'We will return to live in Barcelona. I would love to be sporting director' - Messi (via @football_ie) https://t.co/TSKR8ucpgh,2021-11-01T15:14:37.000Z,1455191555782873093,818654568003334144
22,"@Chaviesquement saw it , messi actually hated riqui 😭😭",2021-11-01T15:14:35.000Z,1455191545041145857,2898364586
23,@SvallySL @FabrizioRomano 50% of what amount ? Messi was already over paid,2021-11-01T15:14:33.000Z,1455191539391471619,1353844318222635008
24,@anis_lahouani @Cule_Cul2_B @Joshua_Ubeku Yeah he loves Messi' fanbase not Messi but you're too dumb to understand such things. Just stick at your Benzema Ballon d'or prop. How can I have a proper debate with a guy claiming that Messi had a better team around him than Benzema 😭😭,2021-11-01T15:14:33.000Z,1455191538909290509,1398592855103393793
25,'We will return to live in Barcelona. I would love to be sporting director' - Messi (via @football_ie) https://t.co/SYN7jybV7n,2021-11-01T15:14:31.000Z,1455191528087896080,49137352
26,'We will return to live in Barcelona. I would love to be sporting director' - Messi (via @football_ie) https://t.co/6mIUQPNScl,2021-11-01T15:14:25.000Z,1455191502997659648,1101738169672835072
27,Follow them for Messi GIFs https://t.co/0Zo3NXrKHv https://t.co/F8QML33Kxq,2021-11-01T15:14:24.000Z,1455191498408878087,1443431930490281987
28,"@Castro1021 The funniest thing happened, last night I went to a restaurant in Paris. After I was done eating my food the waitress asked if I wanted more. I accidentally said ""I'm Messi"" Then she knew I was finished.",2021-11-01T15:14:08.000Z,1455191432059179008,1074809317470003201
29,@opimpibar1 @Ibra_official Best player after messi !!🔥,2021-11-01T15:14:06.000Z,1455191425931415555,1223978405110210576
30,"@BarcaWorldwide You guys don't really think I'm a Messi hater, do you? I said entire season meaning the entire season up to this point, but I shortened it due to Twitter's character limit, so no, it was not meant to be malicious. But whatever, Messi winning it would be a good thing for me anyway",2021-11-01T15:14:00.000Z,1455191399922536449,1343205012
31,"Argentine football superstar Lionel Messi says he has not given any thought about retiring after next year’s World Cup adding he would love to be Barcelona sporting director when he does finally hang up his boots.

Read more online: https://t.co/kXdwfwgu9q",2021-11-01T15:13:31.000Z,1455191278480764940,1295026388874014733
32,"nah bro Messi is up against niggas like Arsene Lupin every week, his suffering is gonna be long 😭",2021-11-01T15:13:28.000Z,1455191265675468806,458750049
33,"@SelecaoTalk Watch prime messi from 2009 to 2012, pele maradona and neymar wont even come close",2021-11-01T15:13:26.000Z,1455191258905862155,1207523174641995781
34,"@TwinsFifaHD Yo les bg’s, 4-2-3-1 in game Ney Bu et messi en 10 , 200k de budget https://t.co/4f1QqlmEKS",2021-11-01T15:13:08.000Z,1455191182611451912,1204055569142820864
35,@messi_goated Pique?? Lol..... No.  May be u should have said Carlos puyol.,2021-11-01T15:13:02.000Z,1455191157604970498,1297522982051446784
36,"@sujoy_pritam I’ve been hesitant for a while now, even after his comment of Messi playing for free. I questioned it, as any Culé would, but still hesitated to criticize…

However, now with Messi’s side of the story, we must admit that Laporta has been terribly underwhelming thus far.",2021-11-01T15:13:00.000Z,1455191146846724099,1437866321954357250
37,"I’d like to return to Barcelona as technical secretary, says Lionel Messi https://t.co/AlqRfhDXml",2021-11-01T15:12:57.000Z,1455191137443094532,208128234
38,"@LeroyPrince77 please stop providing fake leaks. 
Don't get our hopes high only to make us dissapointed later. 
No way an Argentinian journalists will vote messi as 3rd. These are clearly fake!",2021-11-01T15:12:37.000Z,1455191052919336960,1025782390130495488
39,"@mide6ix @cr7goat77 @ultimatetots @sixgodfcb @goal So yall saying that messi should have earned 3 million per year huh? He is messi he has a family and people to pay and his expenditure might need his salary, so if you cut that salary by 80% you might find that you are inconviencing him and the people that depends on him",2021-11-01T15:12:35.000Z,1455191044212015115,1384581321394171910
40,when she tells u she loves Messi because of u 😍😍😍,2021-11-01T15:12:31.000Z,1455191027346718736,1203671306417381377
41,@e_z_zi @Leslley20 @ChampionsLeague @acmilan So you are comparing Messi to Sancho? The man is indeed finished😂,2021-11-01T15:12:28.000Z,1455191013161672712,1416147241501331461
42,"@KiranUTD @Rvisedd @insomniac2jz more ballondors
more iifhs playmaker awards
more fifa best mens player
more golden boots
more player of the tournament awards in major international tournaments 
those are the best individual awards u could win and messi has won each of all more times than ronaldo has",2021-11-01T15:12:05.000Z,1455190916357140480,1196149393239486465
43,"The diff bw Messi &amp; the other so called great players is that he never cared about individual honour &amp; statistics, he always put his team first, Unlike Ronaldo, Lewa, Benzema he never cried about winning ballon d'or or pretending himself the best
That's what makes him special🐐🐐",2021-11-01T15:12:04.000Z,1455190912712118279,1410180070686150659
44,"@SeleoProspects1 @SelecaoTalk it's fair to say that players who are stronger than neymar and messi like suarez and lewandowski are better number 9's than them and in cr7 case a more complete goal scorer, that is fair because it is true but when it comes to the whole package of a players individual talent...",2021-11-01T15:11:57.000Z,1455190885151485956,1377585340274331650
45,@_20nine @BradyBucGoat Respect Messi's left foot and Pendus Right leg,2021-11-01T15:11:48.000Z,1455190845250891781,1079387045657747456
46,@RahulNjr catalan rats says that not messi's,2021-11-01T15:11:29.000Z,1455190765345271811,1330276676627025923
47,@wheezy_khiddy @XXL Messi is the goat,2021-11-01T15:11:25.000Z,1455190748895318024,1433038384105152520
48,Messi is so humble in his interviews .,2021-11-01T15:11:04.000Z,1455190663507628032,960823395750424576
